sub_id,name,face_id,node_id,race,gender,race_id,gender_id
1,1,CFD-LM-210-156-N.jpg,1,latinx,male,3,2
1,2,CFD-AF-224-026-N.jpg,2,asian,female,1,1
1,3,CFD-BF-223-250-N.jpg,3,black,female,2,1
1,4,CFD-AF-228-173-N.jpg,4,asian,female,1,1
1,5,CFD-WF-211-001-N.jpg,5,white,female,4,1
1,6,CFD-WM-218-074-N.jpg,6,white,male,4,2
1,7,CFD-AM-221-184-N.jpg,7,asian,male,1,2
1,8,CFD-WM-232-070-N.jpg,8,white,male,4,2
1,9,CFD-BF-201-080-N.jpg,9,black,female,2,1
1,10,CFD-LF-239-148-N.jpg,10,latinx,female,3,1
1,11,CFD-BM-208-065-N.jpg,11,black,male,2,2
1,12,CFD-BM-226-276-N.jpg,12,black,male,2,2
1,13,CFD-LM-214-165-N.jpg,13,latinx,male,3,2
3,1,CFD-WF-214-122-N.jpg,1,white,female,4,1
3,2,CFD-BM-203-001-N.jpg,2,black,male,2,2
3,3,CFD-BF-210-130-N.jpg,3,black,female,2,1
3,4,CFD-BF-223-250-N.jpg,4,black,female,2,1
3,5,CFD-LF-230-203-N.jpg,5,latinx,female,3,1
3,6,CFD-LM-231-214-N.jpg,6,latinx,male,3,2
3,7,CFD-WM-209-038-N.jpg,7,white,male,4,2
3,8,CFD-AM-229-224-N.jpg,8,asian,male,1,2
3,9,CFD-AM-203-086-N.jpg,9,asian,male,1,2
3,10,CFD-AF-252-135-N.jpg,10,asian,female,1,1
3,11,CFD-WM-208-068-N.jpg,11,white,male,4,2
3,12,CFD-LM-212-143-N.jpg,12,latinx,male,3,2
3,13,CFD-LF-222-147-N.jpg,13,latinx,female,3,1
4,1,CFD-BM-237-188-N.jpg,1,black,male,2,2
4,2,CFD-LF-219-223-N.jpg,2,latinx,female,3,1
4,3,CFD-AF-211-066-N.jpg,3,asian,female,1,1
4,4,CFD-LM-211-128-N.jpg,4,latinx,male,3,2
4,5,CFD-LF-225-164-N.jpg,5,latinx,female,3,1
4,6,CFD-WF-212-050-N.jpg,6,white,female,4,1
4,7,CFD-WM-231-112-N.jpg,7,white,male,4,2
4,8,CFD-WF-214-122-N.jpg,8,white,female,4,1
4,9,CFD-AF-250-200-N.jpg,9,asian,female,1,1
4,10,CFD-BM-201-077-N.jpg,10,black,male,2,2
4,11,CFD-BF-210-130-N.jpg,11,black,female,2,1
4,12,CFD-LM-247-095-N.jpg,12,latinx,male,3,2
4,13,CFD-AM-201-076-N.jpg,13,asian,male,1,2
5,1,CFD-WF-213-031-N.jpg,1,white,female,4,1
5,2,CFD-LF-239-148-N.jpg,2,latinx,female,3,1
5,3,CFD-BM-235-226-N.jpg,3,black,male,2,2
5,4,CFD-LM-214-165-N.jpg,4,latinx,male,3,2
5,5,CFD-LM-225-130-N.jpg,5,latinx,male,3,2
5,6,CFD-BF-201-080-N.jpg,6,black,female,2,1
5,7,CFD-AM-211-052-N.jpg,7,asian,male,1,2
5,8,CFD-LF-206-078-N.jpg,8,latinx,female,3,1
5,9,CFD-BM-203-001-N.jpg,9,black,male,2,2
5,10,CFD-AF-221-147-N.jpg,10,asian,female,1,1
5,11,CFD-WF-252-159-N.jpg,11,white,female,4,1
5,12,CFD-WM-217-070-N.jpg,12,white,male,4,2
5,13,CFD-BF-207-004-N.jpg,13,black,female,2,1
6,1,CFD-BM-200-046-N.jpg,1,black,male,2,2
6,2,CFD-BF-249-091-N.jpg,2,black,female,2,1
6,3,CFD-BM-237-188-N.jpg,3,black,male,2,2
6,4,CFD-LF-219-223-N.jpg,4,latinx,female,3,1
6,5,CFD-WF-213-031-N.jpg,5,white,female,4,1
6,6,CFD-BF-241-222-N.jpg,6,black,female,2,1
6,7,CFD-WM-210-057-N.jpg,7,white,male,4,2
6,8,CFD-AM-246-184-N.jpg,8,asian,male,1,2
6,9,CFD-LF-214-090-N.jpg,9,latinx,female,3,1
6,10,CFD-AF-205-155-N.jpg,10,asian,female,1,1
6,11,CFD-AM-221-184-N.jpg,11,asian,male,1,2
6,12,CFD-LM-252-076-N.jpg,12,latinx,male,3,2
6,13,CFD-WM-217-070-N.jpg,13,white,male,4,2
7,1,CFD-BM-210-148-N.jpg,1,black,male,2,2
7,2,CFD-LM-249-001-N.jpg,2,latinx,male,3,2
7,3,CFD-AM-204-122-N.jpg,3,asian,male,1,2
7,4,CFD-WM-245-123-N.jpg,4,white,male,4,2
7,5,CFD-AF-216-106-N.jpg,5,asian,female,1,1
7,6,CFD-BM-200-046-N.jpg,6,black,male,2,2
7,7,CFD-AM-252-114-N.jpg,7,asian,male,1,2
7,8,CFD-LF-252-172-N.jpg,8,latinx,female,3,1
7,9,CFD-BF-216-132-N.jpg,9,black,female,2,1
