"view_history","rt","trial_purpose","trial_type","trial_index","time_elapsed","internal_node_id","sub_id","bonus","stimulus","response","rep","display_left","from_id","from_face","from_name","to_id","to_face","to_name","friendship","correct","slider_start"
"[{""page_index"":0,""viewing_time"":635202}]","635202","confirm_correct","instructions","0","635176","0.0-0.0","29","4","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":18478},{""page_index"":1,""viewing_time"":12366},{""page_index"":2,""viewing_time"":6550}]","37394","instructions","instructions","1","672573","0.0-1.0","29","4","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11264},{""page_index"":1,""viewing_time"":5567},{""page_index"":2,""viewing_time"":15551},{""page_index"":3,""viewing_time"":10750}]","43132","instructions","instructions","2","715706","0.0-2.0","29","4","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","3","716216","0.0-3.0-0.0","29","4","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","4","718724","0.0-3.0-1.0","29","4","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Amari
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BM-237-188-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            David
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-LM-216-082-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","11","stims/img/CFD-LM-216-082-N.jpg","David","13","stims/img/CFD-BM-237-188-N.jpg","Amari","","",""
"","null","fixation","html-keyboard-response","5","719232","0.0-3.0-0.1","29","4","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","6","721736","0.0-3.0-1.1","29","4","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Alvin
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AM-207-108-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Alexander
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-WM-218-074-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","3","stims/img/CFD-WM-218-074-N.jpg","Alexander","5","stims/img/CFD-AM-207-108-N.jpg","Alvin","","",""
"","null","fixation","html-keyboard-response","7","722243","0.0-3.0-0.2","29","4","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","8","724751","0.0-3.0-1.2","29","4","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Vincent
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AM-238-269-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Serenity
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BF-235-168-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","true","8","stims/img/CFD-AM-238-269-N.jpg","Vincent","9","stims/img/CFD-BF-235-168-N.jpg","Serenity","","",""
"","null","fixation","html-keyboard-response","9","725257","0.0-3.0-0.3","29","4","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","10","727765","0.0-3.0-1.3","29","4","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Isabella
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AF-239-171-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Amy
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-LF-252-172-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","10","stims/img/CFD-LF-252-172-N.jpg","Amy","12","stims/img/CFD-AF-239-171-N.jpg","Isabella","","",""
"","null","fixation","html-keyboard-response","11","728272","0.0-3.0-0.4","29","4","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","12","730780","0.0-3.0-1.4","29","4","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Vincent
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AM-238-269-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Mason
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BM-226-276-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","1","stims/img/CFD-BM-226-276-N.jpg","Mason","8","stims/img/CFD-AM-238-269-N.jpg","Vincent","","",""
"","null","fixation","html-keyboard-response","13","731286","0.0-3.0-0.5","29","4","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","14","733793","0.0-3.0-1.5","29","4","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Amy
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-LF-252-172-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Vincent
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AM-238-269-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","8","stims/img/CFD-AM-238-269-N.jpg","Vincent","10","stims/img/CFD-LF-252-172-N.jpg","Amy","","",""
"","null","fixation","html-keyboard-response","15","734300","0.0-3.0-0.6","29","4","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
